id,상품명,브랜드,품번,성별,이미지_URL,현재_가격,평균_키,평균_몸무게,구매사이트,부위,스타일
566,Night Knight / New Crop2,피스워커,FPRFDDR657M,남,https://image.msscdn.net/thumbnails/images/goods_img/20230905/3532325/3532325_16951167421130_big.jpg?w=1200,94000,174,72,https://www.musinsa.com/products/3532325,하의,미니멀
567,코튼 와이드 파라슈트 스트링 카고 팬츠 [진베이지],썸플레이스,23F8892-1500,공용,https://image.msscdn.net/thumbnails/images/goods_img/20230906/3535038/3535038_16939794641181_big.jpg?w=1200,39900,161,53,https://www.musinsa.com/products/3535038,하의,스트릿
568,리얼 와이드 히든 밴딩 슬랙스 [다크 그레이],무신사 스탠다드,MIPS0005-DG,남,https://image.msscdn.net/thumbnails/images/goods_img/20191206/1246487/1246487_3_big.jpg?w=1200,37290,176,74,https://www.musinsa.com/products/1246487,하의,미니멀
569,릴렉스드 테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],무신사 스탠다드,MMAPS006-CG,남,https://image.msscdn.net/thumbnails/images/goods_img/20210719/2032916/2032916_1_big.jpg?w=1200,29990,173,70,https://www.musinsa.com/products/2032916,하의,미니멀
570,논페이드 와이드 데님팬츠[딥블랙],챔브로스,2024-NFWDP-DBK,공용,https://image.msscdn.net/thumbnails/images/goods_img/20231010/3613230/3613230_17159206746591_big.jpg?w=1200,39800,170,65,https://www.musinsa.com/products/3613230,하의,스트릿
571,(기모옵션추가) 이지 와이드 데님 팬츠 블랙,굿라이프웍스,21FLGP19BK,공용,https://image.msscdn.net/thumbnails/images/goods_img/20210826/2092849/2092849_17086549514914_big.jpg?w=1200,39800,169,64,https://www.musinsa.com/products/2092849,하의,스트릿
572,VELOUR PIPING PANTS black,엘엠씨,0LM44FPT712BLK,공용,https://image.msscdn.net/thumbnails/images/goods_img/20240924/4460054/4460054_17271793623199_big.jpg?w=1200,76300,168,64,https://www.musinsa.com/products/4460054,하의,스트릿
573,투 턱 와이드 치노 팬츠 [베이지],무신사 스탠다드,MMBPC601-BE,남,https://image.msscdn.net/thumbnails/images/goods_img/20220608/2602299/2602299_2_big.jpg?w=1200,36690,174,65,https://www.musinsa.com/products/2602299,하의,미니멀
574,dia stud boots cut denim pt - grey,체리퀴리,CQ24autumn006,여,https://image.msscdn.net/thumbnails/images/goods_img/20241031/4579187/4579187_17322503145571_big.jpg?w=1200,137000,0,0,https://www.musinsa.com/products/4579187,하의,스트릿
575,헤비웨이트 속기모 와이드 히든 밴딩 슬랙스 [반다이크 브라운],무신사 스탠다드,MMJPS602-VR,남,https://image.msscdn.net/thumbnails/images/goods_img/20210910/2124227/2124227_16722981375181_big.jpg?w=1200,43090,177,72,https://www.musinsa.com/products/2124227,하의,미니멀
576,세미 와이드 인디고 데님 팬츠,노드유,ND241DP001,공용,https://image.msscdn.net/thumbnails/images/goods_img/20240219/3878577/3878577_17096752633507_big.jpg?w=1200,39200,173,69,https://www.musinsa.com/products/3878577,하의,스트릿
577,Vintage emblem denim pants / Muddy blue,카락터,KAT7211,남,https://image.msscdn.net/thumbnails/images/goods_img/20240325/3988830/3988830_17113603242190_big.jpg?w=1200,131000,172,68,https://www.musinsa.com/products/3988830,하의,스트릿
578,기모 테이퍼드 팬츠 그레이 (PFFAX4225),지이크,PFFAX4225,남,https://image.msscdn.net/thumbnails/images/goods_img/20240730/4282917/4282917_17223215269102_big.jpg?w=1200,36000,0,0,https://www.musinsa.com/products/4282917,하의,미니멀
579,백 사틴 오피서 팬츠 [블랙],무신사 스탠다드,MMCPC501-BK,남,https://image.msscdn.net/thumbnails/images/goods_img/20230518/3304653/3304653_16914691045461_big.jpg?w=1200,39890,177,74,https://www.musinsa.com/products/3304653,하의,미니멀
580,빈티지 워시드 와이드 데님 팬츠 (SAND BROWN),엑스컨테이너,E4F-VWWDP10 SAND BROWN,남,https://image.msscdn.net/thumbnails/images/goods_img/20240819/4342050/4342050_17255965450722_big.jpg?w=1200,35900,175,65,https://www.musinsa.com/products/4342050,하의,스트릿
581,바이오스톤 워싱 와이드 데님 팬츠 (BEIGE BLACK),트릴리온,TRSDPT02BBK,공용,https://image.msscdn.net/thumbnails/images/goods_img/20230203/3059333/3059333_16757897466411_big.jpg?w=1200,36800,171,64,https://www.musinsa.com/products/3059333,하의,스트릿
582,와이드 투 턱 코듀로이 팬츠 [블랙],멜란지 마스터,MABPC501-BK,남,https://image.msscdn.net/thumbnails/images/goods_img/20220830/2753583/2753583_1_big.jpg?w=1200,35490,178,78,https://www.musinsa.com/products/2753583,하의,스트릿
583,라이트웨이트 테이퍼드 히든 밴딩 크롭 슬랙스 [블루 그레이],무신사 스탠다드,MMJPS201-BY,남,https://image.msscdn.net/thumbnails/images/goods_img/20200226/1323983/1323983_2_big.jpg?w=1200,35890,177,72,https://www.musinsa.com/products/1323983,하의,미니멀
584,딥 워싱 와이드 데님 팬츠 (WASHED BLACK),엑스컨테이너,E4F-DWWDP11 WASHED BLACK,남,https://image.msscdn.net/thumbnails/images/goods_img/20240816/4336570/4336570_17243097432006_big.jpg?w=1200,35900,175,70,https://www.musinsa.com/products/4336570,하의,스트릿
585,조거 3325B 기모 카펜터 블랙 데님 밴딩팬츠,맥우드건,MJG_3325B_09_24D,공용,https://image.msscdn.net/thumbnails/images/goods_img/20241010/4504410/4504410_17286309945351_big.jpg?w=1200,73500,169,54,https://www.musinsa.com/products/4504410,하의,스트릿
586,DWARF DENIM PANTS (DENIM),위캔더스,WK23FWPT02DE,공용,https://image.msscdn.net/thumbnails/images/goods_img/20230920/3576613/3576613_17115955538486_big.jpg?w=1200,97300,168,74,https://www.musinsa.com/products/3576613,하의,스트릿
587,원 턱 레귤러 핏 치노 팬츠 [네이비],무신사 스탠다드,MMAPC506-NA,남,https://image.msscdn.net/thumbnails/images/goods_img/20210818/2069529/2069529_2_big.jpg?w=1200,35590,172,69,https://www.musinsa.com/products/2069529,하의,미니멀
588,XP172 빅 와이드 벌룬 데님 팬츠 (BLUE),엑스톤즈,xp172BL,공용,https://image.msscdn.net/thumbnails/images/goods_img/20230731/3434944/3434944_16919981277003_big.jpg?w=1200,71200,0,0,https://www.musinsa.com/products/3434944,하의,스트릿
589,CURVY INCISION WIDE DENIM PANTS - DENIM,알에스에스씨,RSCBDFBO03DE,남,https://image.msscdn.net/thumbnails/images/goods_img/20240811/4317582/4317582_17233761852689_big.jpg?w=1200,206100,170,61,https://www.musinsa.com/products/4317582,하의,스트릿
590,XP172 빅 와이드 벌룬 데님 팬츠 (BLACK),엑스톤즈,xp172BK,공용,https://image.msscdn.net/thumbnails/images/goods_img/20230731/3434946/3434946_16919983335148_big.jpg?w=1200,71200,0,0,https://www.musinsa.com/products/3434946,하의,스트릿
591,핀턱 벌룬핏 와이드 데님팬츠,지크립,GC3927,남,https://image.msscdn.net/thumbnails/images/goods_img/20240925/4460296/4460296_17272223661448_big.jpg?w=1200,34900,174,70,https://www.musinsa.com/products/4460296,하의,스트릿
592,헤비웨이트 속기모 테이퍼드 히든 밴딩 10부 슬랙스 [크림],무신사 스탠다드,MMJPS601-CR,남,https://image.msscdn.net/thumbnails/images/goods_img/20210910/2124224/2124224_16722979215140_big.jpg?w=1200,39490,178,75,https://www.musinsa.com/products/2124224,하의,미니멀
593,컷팅 볼륨 다트 데님 팬츠 라이트블루 IEPA4E101B1,일꼬르소,IEPA4E101B1,남,https://image.msscdn.net/thumbnails/images/goods_img/20240418/4067633/4067633_17144508475706_big.jpg?w=1200,71000,178,81,https://www.musinsa.com/products/4067633,하의,스트릿
594,Shelter Denim Pants Black,아이돈워너셀,I24FWDP005-BK,공용,https://image.msscdn.net/thumbnails/images/goods_img/20240813/4326442/4326442_17286315695048_big.jpg?w=1200,188100,165,61,https://www.musinsa.com/products/4326442,하의,스트릿
595,[데일리룸 X 시즈] 벌룬 레그 밀 와이드 카고 팬츠 [CHARCOAL],시즈,SZPT4301,남,https://image.msscdn.net/thumbnails/images/goods_img/20240812/4322696/4322696_17257821092530_big.jpg?w=1200,70400,172,66,https://www.musinsa.com/products/4322696,하의,스트릿
596,TOM DARK BLUE RIGID RAW DENIM,랩원오원,LM1DTM38DB,남,https://image.msscdn.net/thumbnails/images/goods_img/20211223/2281037/2281037_2_big.jpg?w=1200,79200,180,78,https://www.musinsa.com/products/2281037,하의,미니멀
597,모어 와이드 데님 팬츠 (WASHED RAW BLACK),토피,T3S-MWDPTWRB,남,https://image.msscdn.net/thumbnails/images/goods_img/20231027/3663072/3663072_16988871011427_big.jpg?w=1200,32900,171,67,https://www.musinsa.com/products/3663072,하의,스트릿
598,CURVED PADDED PANTS (CREAM),마가린핑거스,MF239NPT001CCRFR,여,https://image.msscdn.net/thumbnails/images/goods_img/20231107/3691150/3691150_16995175279744_big.jpg?w=1200,69600,162,50,https://www.musinsa.com/products/3691150,하의,스트릿
599,피그먼트 와이드 데님 팬츠 [차콜 그레이],무신사 스탠다드,MMDNP523-CG,남,https://image.msscdn.net/thumbnails/images/goods_img/20240826/4368611/4368611_17278335454366_big.jpg?w=1200,44890,178,69,https://www.musinsa.com/products/4368611,하의,스트릿
